username,userid,profile_location,created_at,text,retweet_count,source,coordinates
brianh,191829019,"Boston, MA",2023-01-19 00:57:34,@WhitlockJason A friend had the shot and began having sharp nerve pains on her right side. The pains continued for… https://t.co/97RF96jnM1,0,Twitter for iPhone,
Edward Laurenti,577402831,Boston,2023-01-19 00:43:22,@tymetwx @OzraeliAvi @ezralevant The deaths are only unproven b/c they won’t allow doctors to state the cause being… https://t.co/q8FlVPqEGs,0,Twitter for iPhone,
"Bianca Jordan, Esq.",72743650,"Boston, MA",2023-01-19 00:41:16,"@audaciouskay We're 99.9% virtual except for my legal secretary who checks the mail once a week, and I go in maybe… https://t.co/JWdP7xROSF",0,Twitter for iPhone,
WCVB-TV Boston,21419504,"Boston, MA",2023-01-19 00:37:02,Boston doctor compares current COVID-19 strains to original virus https://t.co/S7MPqcoil6,2,SocialNewsDesk,
Boston.com,14602259,"Boston, MA",2023-01-19 00:35:34,"New study categorizes long COVID symptoms, allowing for earlier detection https://t.co/DNX4Xky0TB https://t.co/EjE3srLQzU",0,SocialFlow,
Akhil Acharya🇺🇸🇺🇦,1383151285,Cambridge MA ,2023-01-19 00:29:34,@DrewSav Is it driven by COVID? I was under the impression they ditched restrictions last year,0,Twitter Web App,
"Danielle Kempe, CFRE",15666343,"Quincy, MA",2023-01-19 00:26:53,"Amid hybrid work and sluggish economy, Boston’s office market is hurting https://t.co/sctcpmVfCL via @BostonGlobe… https://t.co/k9Ugjbw0IN",0,Twitter for Android,
"Danielle Kempe, CFRE",15666343,"Quincy, MA",2023-01-19 00:26:07,"Amid hybrid work and sluggish economy, Boston’s office market is hurting https://t.co/sctcpmVNsj via @BostonGlobe… https://t.co/LT7y57pNp1",1,Twitter for Android,
PJLM,21522321,"Boston, MA",2023-01-19 00:24:49,@snowmanomics “Seniors without boosters” …of which my dad was one recently. My mom was boosted and did not get COVI… https://t.co/sfxPRLY2Qs,0,Twitter for iPhone,
PJLM,21522321,"Boston, MA",2023-01-19 00:23:35,@snowmanomics This is ludicrous. Seniors at this moment are 80 percent more likely to land in the hospital with COV… https://t.co/THZ4D56eAS,0,Twitter for iPhone,
CJ Crowder,225877213,"Cambridge, MA",2023-01-19 00:20:29,@NotHoodlum And COVID,0,Twitter Web App,
Scott Noddin,17521748,"Boston, MA",2023-01-19 00:12:40,@GovLarryHogan @JohnJHarwood Don't let the door hit you on the way out. I respected you during COVID but you lost t… https://t.co/ByHPbqpzRN,0,Twitter Web App,
"Danielle Famularo, PharmD",1290473656477462528,"Boston, MA",2023-01-19 00:09:17,@julie_justo Yes! At Boston Medical Center we piloted a pharmacist-driven COVID therapy protocol in February 2022 a… https://t.co/oeYEDgUKDN,1,Twitter Web App,
lynch,371043259,"boston,ma",2023-01-18 23:59:20,"@jasonllevin No,I am more concerned about getting a clot after contracting Covid!",0,Twitter for iPad,
Rick Shaffer,19637772,"Boston, MA",2023-01-18 23:56:22,"GREAT line from Daniel Foster in ""National Review"" regarding his decision to get COVID shots: ""[It] didn't make me… https://t.co/oeRXM6ymay",0,Twitter Web App,
COVID Monitor,1231916294578065408,"Boston, MA",2023-01-18 23:55:32,China braces for Covid surge as lunar new year travel rush begins https://t.co/ur9PT0U4Hk,0,dlvr.it,
City of Cambridge,1251981278,"Cambridge, MA",2023-01-18 23:45:44,"As of 4pm today, Cambridge is reporting:
16 newly reported COVID-19 cases.
0 newly reported COVID-19 deaths.
7.7 ca… https://t.co/D5y60jq00i",0,coccovidbot,
Randall Bock,58507461,"Newton, Massachusetts",2023-01-18 23:39:17,"It almost doesn't get better than this Salem witch story for irony.

PS  Overheard today:
Health professional amid… https://t.co/2mvaOBt46I",1,Twitter for Android,
George Pappas,23962883,"Boston, MA",2023-01-18 23:26:59,"@kimguilfoyle Geez a large mask over your entire face would be perfect!
Get your covid vaccine Kimmy you wouldn’t w… https://t.co/bsqWjiGjqS",0,Twitter for iPhone,
Bullish investor,1595212509715337217,"Boston, MA",2023-01-18 23:23:52,@jimcramer Keeps saying “Since Covid is over”   Is it over?  China looks pretty bad.   Seems irresponsible to keep saying.,0,Twitter for iPhone,
Tom Rivas 🏳️‍🌈,880474733317427200,"Cambridge, MA",2023-01-18 23:16:48,"My partner and I are cosplaying 2020 right now cause I had a bad Covid exposure and don’t want him to get sick

V g… https://t.co/FrvIKkW2yU",0,Twitter for iPhone,
Laurel Whitney,112275477,"Marblehead, MA",2023-01-18 23:11:02,"@chanicekobo @dmcderm2 @DuhartKimberlie Followed doctors advice 
45 of them. I work there. Still exposed daily. No… https://t.co/hHiegIQQf1",1,Twitter for Android,
🇸🇻🎃👻🦂,215126538,"Boston, MA",2023-01-18 23:09:19,@tyleroakley James took too damn long to begin filming for avatar 2 if could’ve had the hype Megan got but no he wa… https://t.co/4ZQEeHhd8C,0,Twitter for iPhone,
pharmanewsintel,1198966054774562816,"Newton, MA",2023-01-18 23:09:15,"To promote awareness during the national surge of #RSV and other respiratory infections, pharmacists are in a prime… https://t.co/A9dGLa0SwF",0,Twitter Web App,
Research at NU,501197826,"Boston, MA",2023-01-18 23:00:01,"Can ‘digital traces’ from internet searches and social media predict outbreaks of #COVID19?

Read here:… https://t.co/UnwhqHZJ7f",1,Sprinklr Publishing,
The Green Hornet goes R.E.D.,1602347697712893976,"Boston, MA",2023-01-18 22:57:30,"#coincidence #jabdeath #vaccinegenocide #vaccines #VaccineDeath 
Death by coincidence and now death by accident.
https://t.co/nCgL6HqUdE",0,Twitter for iPad,
Patty Tobin (@_ptpar_@zeroes.ca;https://post.news/,17859570,"Boston, MA",2023-01-18 22:54:16,@DailyJLee China now securely on that path. Bloomberg: For 1.4 billion Chinese citizens that had the government dic… https://t.co/lbA1UHcP0v,0,Twitter Web App,
Robert Edwards,1565485356107145221,"Boston, MA",2023-01-18 22:45:35,"Market 1.18.23

$DJI -1.81%
$IXIC -1.24%
$SPX -1.56%
Retail sales -1.1%, Exp. -0.9%
PPI biggest drop since April 20… https://t.co/suExGp1o6u",0,Twitter Web App,
Wilson,498951823,"Boston, MA",2023-01-18 22:28:43,@bigben2413 @tylermilliken_ @carrabispod True. But he also has 3 seasons with 30 or more HRs. And he paced that as… https://t.co/3gjMomE6fH,0,Twitter for iPhone,
Jodel P. Deauna,342453276,"Boston, MA",2023-01-18 22:26:07,"ROSARY? ME? I PRAY ""23"" EVERY DAY! #COVID #EPIDEMIOLOGY QUESTIONS? As of today...there have been 663,001,898 ""CONFI… https://t.co/miJCqefp94",0,Twitter Web App,
The Tufts Daily,16876049,"Medford, MA",2023-01-18 22:22:46,FEATURES | Members of Tufts’ Class of 2026 were high school sophomores when the COVID-19 pandemic left the educatio… https://t.co/18lga9Pi6Z,1,Twitter Web App,
Jimmy Derochea,16544122,"Stoughton, MA",2023-01-18 22:19:21,@PunchYourselfX2 @AllenWilson70 @HamlinIsland U obviously don’t know anyone who died from Covid that was relatively… https://t.co/RL3V99Yrcf,0,Twitter for iPhone,
Boston B-Dub 🇺🇸 🇮🇪 🇫🇷,3185704998,"Boston, MA",2023-01-18 22:13:49,@healthbyjames I’m no fan of #bigPharma but mistake was to call it a vaccine. The Covid shot is like the flu shot.… https://t.co/QHhRLyReww,0,Twitter for iPad,
JHGood,15544006,"Boston, MA",2023-01-18 22:09:10,"@MrJonCryer Very bad promises by republicans.  
The budget money was for new hires, replacements for retiree and Co… https://t.co/YvsaITtKer",0,Twitter Web App,
Laurie L.,1454220604245102592,"Boston, MA",2023-01-18 22:05:18,"in 2022, the National Bureau of Statistics reported that China had 10.41 million deaths. With 
the births in China … https://t.co/r2tJEDLZjg",1,Twitter for Android,
"Medford, Mass",1053861272,"Medford, MA, USA",2023-01-18 22:04:39,Still in need of a COVID-19 vaccine this winter? Please reach out to your primary care provider or visit… https://t.co/t0jZLgRdJO,0,Twitter Web App,
Mass General Brigham,150757875,"Boston, MA",2023-01-18 22:03:03,"What started out as a way to provide COVID-19 testing, vaccines, and reliable health information, the Community Car… https://t.co/u7s64YIDq8",11,Sprinklr Care,
Rod Laurenz,3080222434,"Boston, MA",2023-01-18 22:02:21,"@2typerightly @Supreme_Owl_FTW The Fed left rates far too low for far too long in the last decade. 

Then the Covid… https://t.co/xp9M2wBIQq",1,Twitter for Android,
Research at NU,501197826,"Boston, MA",2023-01-18 22:00:00,"The goal isn't necessarily to quantify how many #COVID19 infections there are, says @NortheasternCOS's… https://t.co/aQZV7qbo5a",2,Sprinklr Publishing,
DollyV6,734182158,"Boston, MA",2023-01-18 21:51:08,"@DC_Draino Oddly enough idig deep
enough you will see that a lot of it is tied to the covid relief funds.  If you a… https://t.co/Ek9HAPlWaB",0,Twitter Web App,
Baron von Bourbon 🇺🇦,506439294,"Boston, MA",2023-01-18 21:50:05,"Has anyone checked in on Zika virus lately?  

Maybe we could get a really nice 2-on-2 pickup game going with COVID, RSV, and monkeypox?",0,Twitter for iPhone,
"James Cintolo, RN FN CPT",1478792963090169860,"Boston, Ma",2023-01-18 21:43:01,New Study: 17.1% Of Kids Suffered Cardiac Symptoms And 1 In 96 Experienced Potentially Lethal Heart Rhythms After A… https://t.co/TAK0o77Q4T,259,Twitter for iPhone,
Delilah_Hayden,309262686,"Boston, MA",2023-01-18 21:42:36,"@yelldeadcells As much as it's hard, breathe. I know that's hard but the newer strains of Covid are not the same/st… https://t.co/MFT1iJXdPY",0,Twitter for Android,
bean,84410383,"Boston, MA",2023-01-18 21:39:16,im not contagious for strep anymore bc i’ve been on antibiotics for a few days and the person i know who got sick a… https://t.co/wdJQ1Ua8Vj,0,Twitter for iPhone,
🇺🇸🇺🇸Young Uncle Sam 🇺🇸🇺🇸,1432025731438194691,"Boston, MA",2023-01-18 21:38:34,"Because of the Covid “vaccine” fiasco, I will never get another Flu shot.",4,Twitter for iPad,
Steve Fantastics,2379697048,Boston MA,2023-01-18 21:38:04,"@ItsWooYouView Woo, the fantasies are becoming pretty grandiose.  Now you dream of yourself dying as 9/11 hero.

Of… https://t.co/H2kHZhBjFk",0,Twitter for Android,
bean,84410383,"Boston, MA",2023-01-18 21:37:25,took a covid test bc i have strep but started having a few other symptoms and i am negative so my guess is strep an… https://t.co/FEiEQZJgCM,0,Twitter for iPhone,
Geoffrey Pereira,716833899578527745,"Carlisle, MA",2023-01-18 21:34:05,@AGoldsmithEsq The immune response in those with severe Covid CAN cause inflammation that affects the vascular syst… https://t.co/Wd45f8XK5Y,0,Twitter Web App,
❄️🥂2023 & Me🥂❄️ (PaRoDy™️),2397276883,"Boston, Ma",2023-01-18 21:20:28,Covid lung injury and prolonged illness because covid damaged immune systems https://t.co/1fSx4Fs0I0,0,Twitter for Android,
Sold At The Top,54396661,Boston,2023-01-18 21:11:53,@NickTimiraos @ChrisRugaber #Mester is the best of all the Fed presidents. She should be the next Fed Chair and not… https://t.co/jDwGQkeBjU,0,Twitter for Android,
Rubble,1522714657773006848,"Boston, MA",2023-01-18 21:04:48,@ezralevant @pfizer @AlbertBourla Was the vaccine created for Covid-19? Or was Covid-19 really created for the vaccine?,0,Twitter for Android,
"Ashley Holub, PhD",424688012,"Boston, MA",2023-01-18 21:04:32,Sort of interesting to consider this in the face of all the antivaxer touting increased cardio concerns. We don't e… https://t.co/jmC9P2XSZS,0,Twitter for Android,
Rael Rutherford,991683996034699266,"Lexington, MA",2023-01-18 21:04:03,"@manofGod8888 @DrSyedHaider Well, the data is never messy, maybe just not applicable to the population as a whole.… https://t.co/JEcROHhAWc",0,Twitter for iPhone,
TheTruth🌊 I need a Vacation.,42330257, Boston,2023-01-18 21:01:18,@OANN @DanNewsManBall This guy's a chiropractor. That sells vitamins as a cure for Covid. Shame https://t.co/oiJCTgmtAA,1,Twitter for Android,
ChristineMerrill,2807956579,"Boston,MA",2023-01-18 21:01:09,@POTUS FOLLOWED BY 90 denied funds and 90 Closed by Covid.  Our country was FAR BETTER SHAPE WITH DONALD J. TRUMP I… https://t.co/oBp3xnB8UU,0,Twitter for iPhone,
Red Devil,1026951219863068672,"Boston, MA",2023-01-18 20:57:35,"@graeme224466  How are you, mate? Just getting over bloody Covid. The boys have been going great. ETH is the best! Hope you're doing well.",0,Twitter Web App,
Paz Aerospace LLC,1042843016887709697,"Cambridge, MA",2023-01-18 20:54:28,"@davideyoungmd @StephenKing @TimRunsHisMouth I appreciate it as well. The spin of ""deaths with covid"" vs ""deaths of covid"" is toxic.",0,Twitter for iPad,
Mauricio Santillana,1385808920,"Boston, MA",2023-01-18 20:48:44,Our work on the use of digital traces to build county-level early warning systems to anticipate COVID-19 outbreaks… https://t.co/a5PdL5nHMy,6,Twitter Web App,
Jim Nichols,22267569,"Boston, MA",2023-01-18 20:42:14,@LayahHeilpern Stop spreading BS! https://t.co/zGngHXD6O1,0,Twitter for iPhone,
DR=B,1519346763743780864,"Boston, MA",2023-01-18 20:37:01,@realTuckFrumper The COVID 19 fad is dead,0,Twitter for Android,
juni 🔜 ANE 🦨θ∆,1232187960,"Somerville, MA",2023-01-18 20:15:44,they know COVID and long COVID will continue to gut the labor force and they don't care. by then they'll have gotte… https://t.co/EKQoAO2WGo,3,Twitter for Android,
juni 🔜 ANE 🦨θ∆,1232187960,"Somerville, MA",2023-01-18 20:14:47,last few years have shown that the oligarchs who run shit care more about keeping ppl as powerless/ desperate/ dest… https://t.co/nc9Rq1r5S4,6,Twitter for Android,
"James Cintolo, RN FN CPT",1478792963090169860,"Boston, Ma",2023-01-18 20:09:54,🚨BREAKING - They CAUGHT HIM! Rebel News Finds Pfizer CEO Albert Bourla On The Streets At Davos And Asks Questions M… https://t.co/SxGKGrZ1tD,2648,Twitter for iPhone,
ALPFA Boston,66024159,"Boston, MA",2023-01-18 20:01:08,Join Alia Hamada Forrest to learn more about this program if your business is looking to fill a vacant storefront s… https://t.co/IfhXa7YBeQ,0,Hootsuite Inc.,
Mass. Public Health,23711785,"Boston, MA",2023-01-18 20:00:02,It’s not too late to get a flu shot – and you can even get a flu shot and your COVID vaccine at the same time. Both… https://t.co/6Gc94X6owV,3,Twitter Media Studio,
BostonBar,17086434,Boston,2023-01-18 19:59:44,"The BBA is offering 3 webinars tomorrow:

10a: COVID &amp; PPP Fraud

1p: Understanding 2022 Revisions to the AAA Comme… https://t.co/UY11xMj8vB",0,TweetDeck,
Cathy F #WarnockForGeorgia,1591920029595013123,Boston MA,2023-01-18 19:50:09,@ResisterForever @ervin_pa @BethBookLover @LiberalLezBEn @princessnelly83 @suspete64 @Roktgurl @EnoughAll678… https://t.co/8BdOqss3Tr,0,Twitter Web App,
"James Cintolo, RN FN CPT",1478792963090169860,"Boston, Ma",2023-01-18 19:28:20,"There are people dying suddenly, do you regret getting a COVID vaccine?",178,Twitter for iPhone,
AliceHendricks,12295472,"Cambridge, MA",2023-01-18 19:24:22,"@NeejaB Do you know of a clinic that specializes in Long Covid in the Boston, MA area?",0,Twitter Web App,
James D.,3073601601,"Boston, MA",2023-01-18 19:18:27,"@OptionsJohnny @DeItaone For sure it starts w/ a 2-handle &amp; wouldn't be surprised w/ a 1-handle. 

The bubble was r… https://t.co/KBZFYSRjQg",0,Twitter Web App,
Will Ford,21857799,"Boston, MA",2023-01-18 19:03:54,Impressive reporting by @BeimengFu. Difficult to watch the sacrifices of Zero Covid not lead to significant improve… https://t.co/Is7bs4Dxwd,0,Twitter for iPhone,
City of Boston,124455872,"Boston, MA",2023-01-18 19:00:20,"As of January 16, the City of Boston’s COVID-19 community positivity rate is 12.3%.

For COVID-19 testing locations… https://t.co/7FUsktYxLR",2,Hootsuite Inc.,
Michael J,14163725,"Waltham, MA",2023-01-18 18:58:53,"https://t.co/jHVgJFWNht

Idiot DeSantis has jumped the shark. This jackass should not be in any position of leaders… https://t.co/H9BxM3ubVY",0,Twitterrific for Mac,
Ray Robert Pesci,1580005265746939904,"South Boston, MA",2023-01-18 18:53:06,Look at all these covid vaccine deaths. Someone needs to explain! https://t.co/47ixOMajtx,0,Twitter for iPhone,
COVID Monitor,1231916294578065408,"Boston, MA",2023-01-18 18:47:02,Britain’s excess death rate is at a disastrous high – and the causes go far beyond Covid | Owen Jones https://t.co/2Wv9CMEryH,1,dlvr.it,
Anti-WW3 Constance 🌼,355225577,"Boston, MA",2023-01-18 18:46:37,"@RobertRonnenbe1 I took Covid very seriously, although I don’t trust the #’s that are attributed to it. However, if… https://t.co/InZussipqM",0,Twitter for iPhone,
richard head,1035504952079253505,"Boston, MA",2023-01-18 18:46:09,"@gtconway3d Geez George, the money Trump spent on Covid was passed by a Democratic Majority House.",0,Twitter for Android,
BenKaitz,1585001584785850371,"Newton, MA",2023-01-18 18:38:11,@deamonomic @mustangbaby08 @TommyPigott @POTUS I never cared about Covid and still don’t lol.,0,Twitter for iPhone,
BenKaitz,1585001584785850371,"Newton, MA",2023-01-18 18:35:44,@deamonomic @TommyPigott @POTUS I’m not a Republican. And the lockdowns democrats were for have been proven to have… https://t.co/VowhbHK3cY,0,Twitter for iPhone,
Eric Silverman,619312748,"Boston, MA",2023-01-18 18:34:52,"How about a permanent ban on DeSantis from the human race?  After all, he dies act like a selfish animal devoid of… https://t.co/7tb9vpt09h",0,Twitter for iPhone,
"James Cintolo, RN FN CPT",1478792963090169860,"Boston, Ma",2023-01-18 18:34:19,🚨BREAKING — Bernie Sanders Blows The Whistle On Moderna Over Corrupt Government Contract For Their mRNA COVID-19 Va… https://t.co/R4mVXSYFIm,1441,Twitter for iPhone,
Anti-WW3 Constance 🌼,355225577,"Boston, MA",2023-01-18 18:25:03,"@MikeOMara ^ and even if it’s the vaccine, if it can, prevent the spike protein (according to in vitro studies) fro… https://t.co/pQPpiWNHmI",2,Twitter for iPhone,
Anti-WW3 Constance 🌼,355225577,"Boston, MA",2023-01-18 18:21:31,@MikeOMara I wonder if dandelion tea could even help at a more advanced stage of Covid harm. It’s very gentle and g… https://t.co/3TUOLMsDrf,2,Twitter for iPhone,
BIG JUE,1096217035493855232,"Boston, MA ",2023-01-18 18:19:18,Covid had bitches on a crumb🤣 https://t.co/PmMieP9qss,0,Twitter for iPhone,
BenKaitz,1585001584785850371,"Newton, MA",2023-01-18 18:16:27,@deamonomic @TommyPigott @POTUS He tried to make it feel like there’s good news to be happy about in the economy. T… https://t.co/lJmEdUMhRx,0,Twitter for iPhone,
Patty Tobin (@_ptpar_@zeroes.ca;https://post.news/,17859570,"Boston, MA",2023-01-18 18:15:03,@luckytran @DrLeanaWen Washington Post needs other columnists who know better what the issues are. Impressive amoun… https://t.co/RKLbQDVmTk,5,Twitter for Android,
"James Cintolo, RN FN CPT",1478792963090169860,"Boston, Ma",2023-01-18 18:10:17,🚨BREAKING — Pfizer CEO Albert Bourla Announces At Davos New mRNA Flu Vaccine Due By June Or July This Year And A CO… https://t.co/F2Aav4cqcA,3381,Twitter for iPhone,
Mike Brum,130831844,Boston,2023-01-18 18:08:21,@DevotedDruid Early COVID I upgraded my static desk to a standing desk and it's been a HUGE QoL improvement. I also… https://t.co/d6paq2v8FF,0,Twitter Web App,
BIDMC_CVVRtrial,4902185775,"Boston, MA",2023-01-18 18:01:51,"With the recent rise in COVID-19 cases, this @CNN article highlights the use of Paxlovid in those 65 years and olde… https://t.co/C6XhUJd8Co",0,Agorapulse app,
KSJ at MIT,720228997,"Cambridge, MA",2023-01-18 18:00:02,"In China, Covid-19 infections have sky-rocketed, and medical facilities are stretched to their limit, KSJ alum… https://t.co/DJesETEXcI",0,Twitter Web App,
kimmie,1957106450,"Quincy, MA",2023-01-18 17:58:39,@durrutia19 @CPhenom69 Covid 19 was the biggest lie .,0,Twitter for iPhone,
Erica H.,1003317574774480897,"Boston, MA",2023-01-18 17:54:44,There have been people criticizing me for getting a second covid booster. I am not sure why because I haven't gotten covid and they have,0,Twitter Web App,
ian garland: ska homie,2978726873,"Boston, MA",2023-01-18 17:54:01,@nolan_mcgovern I lucked out and they were also suing my employer. The case got dragged out due to covid and they s… https://t.co/9jMjWVYLko,0,Twitter for iPhone,
"Danielle Kempe, CFRE",15666343,"Quincy, MA",2023-01-18 17:49:29,"@mattbc I told my shocked colleagues yesterday that if I hadn't gotten Paxlovid back in May when I had COVID, I lik… https://t.co/VoJkr2ZPhr",0,Twitter for Android,
HandsomePackers,32433944,"Boston, MA",2023-01-18 17:47:18,"@JJohnsonLaw https://t.co/bRf0EjCjw3 What brings a tear to my eye, as a doc who worked in a Covid unit: How many Am… https://t.co/uqkL5ZEm3f",0,Twitter Web App,
J.Whittingham,18117090,"Massachusetts, USA",2023-01-18 17:45:58,"@wood_pwood1222 @mayhue96 @IanJaeger29 It may be too late for the vaccine in your case, since you have obviously al… https://t.co/YJbE0FWbZK",0,Twitter for iPhone,
Allison Byers,16951191,"Boston, MA",2023-01-18 17:45:34,Over 5 million new businesses were created in the US in 2022. Entrepreneurship year-over-year growth has sustained… https://t.co/WR58VnSIgb,0,TweetDeck,
Rory Dracovitch 🎃,1312060595513044993,"Boston, MA",2023-01-18 17:43:59,@TodayInTheNews3 @monitor_bias @ExMaga2023 @IAPolls2022 I mean it’s a good attack ad. Run it. DeSantis is still wil… https://t.co/YaY9lXUnP7,0,Twitter for iPhone,
J.Whittingham,18117090,"Massachusetts, USA",2023-01-18 17:41:25,@wood_pwood1222 @mayhue96 @IanJaeger29 I know doctors who say the risks related to the vaccine are minuscule compar… https://t.co/TcynO8uKqR,0,Twitter for iPhone,
Richelle,21464616,"Boston, MA",2023-01-18 17:41:08,the covid vax card is an interesting addition https://t.co/ESX0E5dOQK,0,Twitter Web App,
Jason Rules,986595309257134081,"Boston, MA",2023-01-18 17:33:06,"@TimRyanFan There may be some selection bias, such as people who get the vaccine are more likely to get tested for Covid.",0,Twitter for iPhone,
"Anouska, PhD (she/they)",33250587,"Boston, MA",2023-01-18 17:32:57,"I got Covid. For the 4th time. (Could be the 5th?) I am exhausted. 

*I am vaccinated, and boosted. I wear masks. I… https://t.co/J02paAyPNk",0,Twitter for Android,
Geoffrey Pereira,716833899578527745,"Carlisle, MA",2023-01-18 17:29:09,"@AGoldsmithEsq @gorskon @DrLeanaWen If they’re that sick pre Covid, it’d be impossible to determine if vascular dam… https://t.co/HB90Hh1sHK",0,Twitter Web App,
princess bing,1029406564120256518,boston,2023-01-18 17:27:49,@cryinginacrypt as someone with too many degrees who’s currently in customer service bc of the weird job market/covid…… we exist 😅😭,0,Twitter for iPhone,
"James Cintolo, RN FN CPT",1478792963090169860,"Boston, Ma",2023-01-18 17:26:06,"""My wife took her first COVID vaccine dose, then 24-hours later lymph nodes were swollen, she had burning + tinglin… https://t.co/71LEUyFZBM",386,Twitter for iPhone,
MistahPolitical,1585386239213150209,"Boston, MA",2023-01-18 17:24:56,@HughBramlett I’m not a fan of the Covid vaccine but this is photoshopped and not legit,0,Twitter for iPhone,
Beach Bum🇺🇸,199400192,Boston,2023-01-18 17:23:35,"@GovRonDeSantis Are you paying out of your pocket for those COVID hospitalizations, funerals and those families who… https://t.co/sjSPu1fp8m",0,Twitter for iPhone,
GoldfishBoston☘🐠,764273666666397697,Boston,2023-01-18 17:20:25,@hheist99 @Doctor_Eric_B Lol speculated covid resistors may also not love traffic laws either.  In a very small sam… https://t.co/C5NABtDgrz,0,Twitter Web App,
Some random dude on Twiter,15984772,Boston,2023-01-18 17:20:12,"@POTUS Because people need to create hustles to survive.  I run a small business, and your covid policies have stol… https://t.co/azOyjl56PM",0,Twitter Web App,
GrinningHazard is Erend Vanguardsmen 🎃⚰️👻🦇,3111242908,"Boston, MA",2023-01-18 17:19:57,@DWUhlfelderLaw Cro magnon man doesn't believe in covid? Big surprise.,0,Twitter Web App,
Todd Every 🇺🇸,242957489,"Massachusetts, USA",2023-01-18 17:16:04,"@therecount Covid dodger, Caribbean quick trip.",0,Twitter for Android,
Laurel Whitney,112275477,"Marblehead, MA",2023-01-18 17:15:16,"@chanicekobo @DuhartKimberlie All vaxed
No Covid for me",0,Twitter for Android,
FEMA Region 1,18486243,"Boston, MA",2023-01-18 17:10:02,"#Massachusetts: FEMA Awards Over $1.2 Million to UMass Memorial Health Care for COVID-19 Costs

@MassEMA… https://t.co/cpynocJ0Mq",0,Twitter Web App,
FEMA Region 1,18486243,"Boston, MA",2023-01-18 17:10:01,"#Massachusetts: FEMA Awards Over $7.3 Million to Massachusetts for COVID-19 Homeless Care Costs

@MassEMA @MassHHS… https://t.co/d6TCsWGEIa",0,Twitter Web App,
FEMA Region 1,18486243,"Boston, MA",2023-01-18 17:10:01,"#Massachusetts: FEMA Awards Over $1.3 Million to Clark University for COVID-19 Testing Costs

@massema… https://t.co/tsfgpWGbt2",0,Twitter Web App,
Harvard Medical School,30862829,"Boston, MA",2023-01-18 17:06:03,The findings could help inform the timing of booster vaccinations in individuals with different characteristics and… https://t.co/GIRxK43vQ3,4,Sprout Social,
The voice of reason,1158901735,"Boston, MA",2023-01-18 17:02:40,@DanielTurnerPTF They could just kill a billion people and enjoy the carbon savings too. Can you say Covid?,0,Twitter for iPhone,
Danielle Elwood,138851274,"Boston, MA",2023-01-18 17:01:11,@DrLoupis Yes. Also one of my best friends is a doctor who works directly with hospitalized COVID patients of all a… https://t.co/Gnc7tmitb5,0,Twitter for iPhone,
The Bedford Citizen,614592719,"Bedford, MA",2023-01-18 17:00:54,"After missing two years in deference to Covid-19, the foundation has scheduled a black-and-white-themed Birthday Ba… https://t.co/UkBDeSlapA",0,Blog2Social APP,
Neighborhood Villages,968174996794339328,"Boston, MA",2023-01-18 17:00:31,"""The “tripledemic” persists as cases of COVID-19, the flu, &amp; RSV surge, leading to an unprecedented demand in cold… https://t.co/vaCE9ZwxSW",1,Twitter Web App,
J.Whittingham,18117090,"Massachusetts, USA",2023-01-18 16:56:49,"@AzPetrich While anti-vaxxers were so busy refusing and lobbying against the vaccine, they forgot that Covid is a d… https://t.co/0vdYInGgfM",0,Twitter for iPhone,
SD,1306568611885187073,Greater Boston,2023-01-18 16:55:08,"@EWidera Pretty sure they're also behind the bulk of so-called ""long covid""...",0,Twitter Web App,
Keep Wearing Masks Please,17608892,"Boston, MA",2023-01-18 16:54:42,Just learned about free In-Home Covid 19 Vaccinations in Massachusetts https://t.co/wisWOlB4k8,0,Twitter for Android,
Dniceboston33,47703559,Boston MA,2023-01-18 16:52:53,"Weird to me that people like myself keep getting called out for mis/disinformation when it comes to covid, &amp; the va… https://t.co/DDhjYHWCSW",0,Twitter for iPhone,
National Center for Equitable Care for Elders,1013867852015677440,"Boston, MA",2023-01-18 16:49:00,"On 1/27 Join several National Training and Technical Assistance Partner organizations and Dr. Jennifer Cope, MD, MP… https://t.co/bL036xCeDr",0,Twitter Web App,
Max Jordan Nguemeni,603883536,"Boston, MA",2023-01-18 16:43:02,LW finally crossed over. Went from suggesting we mask to denying covid deaths. She will carry whoever’s water at a… https://t.co/qGS7XhJKka,3,Twitter for iPhone,
bloop 🐀,225508253,"Boston, MA",2023-01-18 16:42:26,"how did we literally prove during covid that tons of jobs can be done remotely, making employees happier and less s… https://t.co/1ibwKjO1Sz",4,Twitter for iPhone,
Bruins Daily,410864682,Boston,2023-01-18 16:41:52,"Last year, the Bruins had a shorthanded COVID depleted roster in their first ever visit to UBS Arena. Today, not so… https://t.co/byVci6yp2V",0,TweetDeck,
Beach Bum🇺🇸,199400192,Boston,2023-01-18 16:37:15,"@CNNSotu @Chris__Boyette So, is he paying for COVID hospitalizations and funerals from his pocket? 

If this doesn’… https://t.co/wLnBQUuAiQ",3,Twitter for iPhone,
Benjamin Ortega,8205472,Boston,2023-01-18 16:37:11,IJERPH | Free Full-Text | Impact of the COVID-19 Pandemic on Melanoma Diagnosis: Increased Breslow Thickness in Pri… https://t.co/kGjmPkpzOa,0,ContentStudio.io,
